family,Mono,Bltc,Sp_D,Sp_L,Maze,St_H,St_D,St_V,Sddl,Eyes,Area
Paraulopidae,0,1,0,0,0,0,0,0,1,0,0
Parazenidae,1,0,0,0,0,0,0,0,0,0,0
Parodontidae,0,0,1,0,0,1,0,1,1,0,0
Pataecidae,1,0,1,0,0,0,0,0,0,0,0
Pegasidae,0,1,1,1,1,0,0,1,0,0,0
Pempheridae,1,0,1,0,0,0,0,0,0,0,0
Pentacerotidae,1,1,1,1,1,0,1,1,0,1,0
Percichthyidae,1,1,1,1,1,1,1,1,1,0,0
Percidae,1,1,1,0,1,1,1,1,1,0,1
Perciliidae,0,1,0,0,0,0,0,0,0,0,0
Percophidae,1,1,1,1,0,1,0,0,1,1,0
Percopsidae,0,0,1,0,0,0,0,0,0,0,0
Peristediidae,1,1,1,0,1,0,0,1,1,1,0
Petromyzontidae,1,1,0,0,0,0,0,0,0,0,1
Phallostethidae,1,0,0,0,0,0,0,0,0,0,0
Pholidae,1,1,1,1,1,0,0,0,1,0,0
Pholidichthyidae,0,0,0,0,1,1,0,0,0,0,0
Phosichthyidae,1,1,0,1,0,1,0,0,0,0,1
Phractolaemidae,1,0,0,0,0,0,0,0,0,0,0
Phycidae,1,1,1,1,0,0,0,0,0,0,0
Pimelodidae,1,1,1,0,1,1,1,1,1,1,1
Pinguipedidae,1,1,1,1,0,1,1,1,1,1,1
Platycephalidae,1,1,1,1,0,0,1,1,1,0,0
Platyrhinidae,1,0,0,1,0,0,0,0,0,0,0
Platytroctidae,1,0,0,0,0,0,0,0,0,0,0
Plecoglossidae,1,0,0,0,0,0,0,0,0,0,0
Plectrogeniidae,1,0,0,0,0,0,0,0,0,1,0
Plesiobatidae,1,0,0,0,0,0,0,0,0,0,0
Plesiopidae,1,1,1,1,0,1,0,1,0,1,1
Pleuronectidae,1,1,1,1,1,1,0,0,0,1,0
Plotosidae,1,1,1,0,0,1,0,0,0,0,0
Poeciliidae,1,1,1,1,1,1,0,1,0,1,1
