species,Mono,Bltc,Sp_D,Sp_L,Maze,St_H,St_D,St_V,Sddl,Eyes,Area
Albula vulpes,1,0,0,0,0,0,0,0,0,0,0
Albulichthys albuloides,1,0,0,0,0,0,0,0,0,0,0
Alburnoides bipunctatus,1,0,0,0,0,1,0,0,0,0,0
Alburnoides coadi,0,0,0,0,0,0,0,0,0,0,1
Alburnoides devolli,0,0,1,0,0,0,0,0,0,0,1
Alburnoides fangfangae,0,0,0,0,0,1,0,0,0,0,0
Alburnoides gmelini,1,0,0,0,0,0,0,0,0,0,0
Alburnoides holciki,0,0,0,0,0,1,0,0,0,0,0
Alburnoides idignensis,1,0,0,0,0,0,0,0,0,0,0
Alburnoides maculatus,0,0,1,0,0,0,0,0,0,0,1
