,id,species,specimen,lightness,complexity,link,credit,note
29,030_ste,ste,KAUM-I-65996,,,https://www.museum.kagoshima-u.ac.jp/,The Kagoshima University Museum,
30,031_ste,ste,KAUM-I-52638,,,https://www.museum.kagoshima-u.ac.jp/,The Kagoshima University Museum,
31,032_map,map,1343295539_82.243.202.40.jpg,,,https://www.fishbase.se/photos/UploadedBy.php?autoctr=15962,maridom,CC BY-NC 3.0 (https://creativecommons.org/licenses/by-nc/3.0/)
32,033_map,map,KPM-NR 72116,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=72116,FishPix,
33,034_map,map,KAUM-I-79930,,,https://www.museum.kagoshima-u.ac.jp/,The Kagoshima University Museum,
34,035_map,map,Armap_u3.jpg,,,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=7857&what=species&TotRec=6,"Randall, John E. ",CC BY-NC 3.0 (https://creativecommons.org/licenses/by-nc/3.0/)
35,036_map,map,Armap_u2.jpg,,,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=7857&what=species&TotRec=6,"Randall, John E. ",CC BY-NC 3.0 (https://creativecommons.org/licenses/by-nc/3.0/)
36,037_map,map,KPM-NR 69390,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=69390,FishPix,
37,038_map,map,KAUM-I-22222,,,https://www.museum.kagoshima-u.ac.jp/,The Kagoshima University Museum,
38,039_map,map,KPM-NR 87324,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=87324,FishPix,
39,040_map,map,KPM-NR 32839,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=32839,FishPix,
40,041_map,map,1481898774_188.114.102.52.jpg,,,https://www.fishbase.se/photos/UploadedBy.php?autoctr=28394,Trevor Meyer,CC BY-NC 3.0 (https://creativecommons.org/licenses/by-nc/3.0/)
41,042_map,map,KAUM-I-58588,,,https://www.museum.kagoshima-u.ac.jp/,The Kagoshima University Museum,
42,043_map,map,KPM-NR 85845,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=85845,FishPix,
43,044_map,map,FRLM-35817,,,http://zaga.bio.mie-u.ac.jp/,Fisheries Research Laboratory Mie University,
44,045_map,map,KPM-NR 12934,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=12934,FishPix,
45,046_map,map,Armap_u4.jpg,,,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=7857&what=species&TotRec=6,"Randall, John E. ",CC BY-NC 3.0 (https://creativecommons.org/licenses/by-nc/3.0/)
46,047_map,map,KPM-NR 60775,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=60775,FishPix,
47,048_map,map,Armap_u0.jpg,,,https://www.fishbase.se/photos/PicturesSummary.php?ID=7857&what=species,"Randall, John E. ",CC BY-NC 3.0 (https://creativecommons.org/licenses/by-nc/3.0/)
48,049_car,car,HUMZ-35438,,,https://doi.org/10.1007/s10228-016-0517-8,"Matsuura, K.",
49,050_car,car,NSMT-P-34460,,,https://www.kahaku.go.jp/research/db/zoology/uodas/fish_in_focus/detective/skin/04.html,"Matsuura, K.",
50,051_mul,mul,KAUM-I-13606,,,https://doi.org/10.1007/s10228-016-0517-8,The Kagoshima University Museum,
51,052_mul,mul,Amul_RedSea.jpg,,,https://doi.org/10.1007/s10228-016-0517-8,"Field, R.",
52,053_mul,mul,NSMT-P-33528,,,https://doi.org/10.1007/s10228-016-0517-8,"Toda, M.",
53,054_mul,mul,Amul_Amami.jpg,,,https://doi.org/10.1007/s10228-016-0517-8,"Ito, K.",
54,055_mul,mul,MUFS-46817,,,https://doi.org/10.1007/s10228-016-0517-8,"Wada, M.",
55,056_ret,ret,Ar33_DSC07402.jpg,,,,"Miyazawa, S.",
56,057_ret,ret,Ar27_DSC07123.jpg,,,,"Miyazawa, S.",
57,058_ret,ret,Ar28_DSC07422.jpg,,,,"Miyazawa, S.",
58,059_ret,ret,BPBM-28931(JERandall2012).jpg,,,https://www.researchgate.net/publication/291352425_Color_variation_of_the_puffer_Arothron_hispidus_Linnaeus_and_comparison_with_A_reticularis_Bloch_Schneider,"Randall, John E. ",
59,060_ret,ret,NIFREL,,,https://www.nifrel.jp/en/,"Miyazawa, S.",
60,061_ret,ret,CHURAUMI,,,https://churaumi.okinawa/en/fishbook/1508054053/,Okinawa Churaumi Aquarium,
61,062_ret,ret,KPM-NR 107147,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=107147,FishPix,
62,063_ret,ret,KPM-NR 94266,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=94266,FishPix,
